Team,C,PF,PG,SF,SG,Average_Age,Wins,19-22,23-26,27-30,30+,Home-WinPct,Road-WinPct,East-WinPct,West-WinPct,Atlantic-WinPct,Central-WinPct,SE-WinPct,NW-WinPct,Pacific-WinPct,SW-WinPct,Oct-WinPct,Nov-WinPct,Dec-WinPct,Jan-WinPct,Feb-WinPct,March-WinPct,Apr-WinPct
Atl,15.35731707,17.82560976,25.96341463,29.59268293,14.26463415,25.5,24,3,10,8,1,39.02439024,19.51219512,23.07692308,40,22.22222222,16.66666667,31.25,50,20,50,14.28571429,21.42857143,40,33.33333333,36.36363636,14.28571429,50
Bos,20.48780488,7.441463415,38.84146341,36.67560976,0.717073171,25.4,55,3,10,5,2,65.85365854,68.29268293,63.46153846,73.33333333,75,55.55555556,61.11111111,90,70,60,71.42857143,87.5,64.70588235,58.33333333,63.63636364,69.23076923,33.33333333
Bro,14.45365854,7.253658537,23.22926829,25.80121951,35.95609756,25.22727273,28,5,9,6,2,36.58536585,31.70731707,36.53846154,30,6.25,33.33333333,66.66666667,40,10,40,37.5,38.46153846,33.33333333,37.5,10,35.71428571,50
Cha,28.72804878,14.09878049,24.84878049,8.302439024,32.22317073,25.47058824,36,2,10,3,2,51.2195122,36.58536585,42.30769231,46.66666667,22.22222222,38.88888889,68.75,40,70,30,57.14285714,30.76923077,31.25,57.14285714,58.33333333,40,40
Chi,13.01463415,29.47804878,28.52317073,2.634146341,29.2597561,24.61904762,27,6,10,4,1,41.46341463,24.3902439,40.38461538,20,27.77777778,25,66.66666667,20,0,40,20,13.33333333,62.5,33.33333333,20,33.33333333,33.33333333
Cle,6.36097561,16.71219512,10.56585366,46.23292683,31.06341463,29,50,2,5,6,9,70.73170732,51.2195122,67.30769231,50,61.11111111,68.75,72.22222222,50,50,50,42.85714286,80,64.28571429,42.85714286,60,62.5,66.66666667
Dal,10.97926829,15.76463415,38.56097561,21.45,10.87926829,26.65217391,24,2,13,3,5,36.58536585,21.95121951,33.33333333,26.92307692,20,40,40,27.77777778,22.22222222,31.25,12.5,28.57142857,50,21.42857143,30,28.57142857,16.66666667
Den,6.407317073,36.45731707,7.174390244,9.390243902,50.72073171,25.83333333,46,8,1,6,3,75.6097561,36.58536585,60,53.84615385,40,80,60,56.25,55.55555556,50,42.85714286,64.28571429,46.66666667,46.66666667,70,53.33333333,83.33333333
Det,15.70487805,29.32804878,26.25487805,18.33414634,14.1195122,26.31818182,39,4,7,9,2,60.97560976,34.14634146,46.15384615,50,38.88888889,56.25,44.44444444,40,70,40,62.5,75,40,21.42857143,50,46.66666667,50
Gol,8.659756098,21.86097561,25.00487805,30.2597561,27.70731707,28,58,3,3,6,5,70.73170732,70.73170732,80,65.38461538,90,60,90,44.44444444,81.25,72.22222222,62.5,78.57142857,86.66666667,78.57142857,72.72727273,50,50
